Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|O95758|PTBP3_HUMAN,2.05E+05,2.57E+05,0,5.91E+04,0,0,0,6.07E+04,6.71E+04
sp|O95782|AP2A1_HUMAN,1.03E+04,2.00E+04,0,0,0,0,0,0,1.14E+05
sp|O95793|STAU1_HUMAN,8.19E+05,9.48E+05,0,5.90E+05,0,0,4.67E+03,2.00E+05,1.17E+05
sp|O95816|BAG2_HUMAN,8.05E+04,0,0,0,0,0,0,0,5.79E+04
sp|O95831|AIFM1_HUMAN,0,5.86E+04,0,1.12E+05,0,0,0,0,0
sp|O95926|SYF2_HUMAN,1.72E+05,2.07E+05,0,2.02E+05,0,0,0,0,0
sp|O96008|TOM40_HUMAN,5.84E+05,9.51E+05,0,3.04E+05,0,4.16E+04,0,8.01E+05,6.39E+05
sp|O96019|ACL6A_HUMAN,0,6.86E+04,0,0,0,0,0,0,0
sp|P00403|COX2_HUMAN,8.51E+05,8.34E+05,0,6.87E+05,0,0,0,8.88E+05,1.10E+06
sp|P00492|HPRT_HUMAN,0,0,0,0,0,0,0,5.50E+04,0
sp|P01040|CYTA_HUMAN,2.26E+05,9.97E+04,0,2.51E+05,0,0,0,6.44E+05,3.19E+05
sp|P01876|IGHA1_HUMAN,0,0,0,0,0,0,0,0,1.53E+05
sp|P02452|CO1A1_HUMAN,0,0,4.68E+04,0,0,0,0,0,0
sp|P02788|TRFL_HUMAN,0,0,0,0,0,0,1.56E+06,7.92E+04,0
sp|P04040|CATA_HUMAN,3.43E+04,0,0,2.09E+04,0,0,0,3.17E+04,6.12E+04
sp|P04259|K2C6B_HUMAN,4.20E+04,5.15E+04,0,1.35E+05,0,0,0,3.65E+05,1.45E+05
sp|P04279|SEMG1_HUMAN,0,0,0,0,0,0,0,0,1.69E+06
sp|P04406|G3P_HUMAN,0,0,0,2.20E+05,0,3.60E+05,0,3.77E+05,0
sp|P19961|AMY2B_HUMAN,0,0,0,0,0,0,0,1.67E+05,0
sp|P04843|RPN1_HUMAN,1.49E+05,4.22E+04,0,2.76E+05,0,0,0,3.10E+05,1.43E+05
sp|P04844|RPN2_HUMAN,7.00E+04,6.67E+04,0,1.28E+05,0,0,0,8.09E+04,6.32E+04
sp|P04899|GNAI2_HUMAN,1.23E+05,0,0,2.64E+05,0,0,0,5.84E+04,7.92E+04
sp|P05023|AT1A1_HUMAN,1.49E+04,4.25E+04,0,6.47E+04,0,0,0,0,0
sp|P05089|ARGI1_HUMAN,2.26E+05,4.32E+05,0,5.25E+05,0,0,0,3.92E+06,2.58E+05
sp|P05109|S10A8_HUMAN,3.24E+05,0,0,0,0,0,0,1.12E+06,4.40E+05
sp|P05141|ADT2_HUMAN,7.85E+05,2.56E+06,2.44E+05,1.42E+06,4.98E+05,5.80E+05,4.46E+05,6.16E+05,6.71E+05
sp|P05198|IF2A_HUMAN,4.86E+05,4.23E+05,0,2.28E+05,0,0,0,2.65E+05,9.49E+04
sp|P05387|RLA2_HUMAN,1.42E+06,4.76E+05,0,1.61E+06,0,0,0,4.80E+05,1.86E+06
sp|P05388|RLA0_HUMAN,1.90E+06,2.65E+06,2.13E+06,1.71E+06,2.27E+06,2.87E+06,8.39E+05,2.15E+06,1.85E+06
sp|P05455|LA_HUMAN,4.42E+05,8.41E+05,3.94E+03,3.31E+05,0,1.26E+05,0,1.98E+05,0
sp|P05783|K1C18_HUMAN,0,0,0,0,0,0,0,0,2.36E+04
sp|P06493|CDK1_HUMAN,5.86E+05,5.49E+05,0,3.22E+05,0,0,0,5.01E+05,1.54E+05
sp|P06576|ATPB_HUMAN,6.60E+05,1.27E+05,0,3.09E+05,0,0,0,3.14E+05,2.29E+05
sp|P06702|S10A9_HUMAN,0,0,0,3.54E+05,0,0,0,1.27E+05,2.99E+05
